,Zipcode,Stats,WORK EXPERIENCE,Below poverty level,Percent below poverty level,Total
2968,60948,Estimate,Did not work,19.0,5.0,379.0
2969,60948,Estimate,Population 16 years and over,63.0,4.8,1321.0
2970,60948,Estimate,"Worked full-time, year-round in the past 12 months",2.0,0.4,492.0
2971,60948,Estimate,Worked part-time or part-year in the past 12 months,42.0,9.3,450.0
2972,60948,Margin of Error,Did not work,14.0,3.8,84.0
2973,60948,Margin of Error,Population 16 years and over,38.0,3.0,193.0
2974,60948,Margin of Error,"Worked full-time, year-round in the past 12 months",8.0,1.6,149.0
2975,60948,Margin of Error,Worked part-time or part-year in the past 12 months,35.0,7.6,99.0
2976,60949,Estimate,Did not work,64.0,34.6,185.0
2977,60949,Estimate,Population 16 years and over,84.0,16.1,521.0
2978,60949,Estimate,"Worked full-time, year-round in the past 12 months",2.0,0.9,220.0
2979,60949,Estimate,Worked part-time or part-year in the past 12 months,18.0,15.5,116.0
2980,60949,Margin of Error,Did not work,44.0,18.1,64.0
2981,60949,Margin of Error,Population 16 years and over,53.0,9.2,146.0
2982,60949,Margin of Error,"Worked full-time, year-round in the past 12 months",3.0,1.5,73.0
2983,60949,Margin of Error,Worked part-time or part-year in the past 12 months,26.0,18.7,48.0
2984,60950,Estimate,Did not work,285.0,9.7,2940.0
2985,60950,Estimate,Population 16 years and over,686.0,7.5,9127.0
2986,60950,Estimate,"Worked full-time, year-round in the past 12 months",28.0,0.7,3794.0
2987,60950,Estimate,Worked part-time or part-year in the past 12 months,373.0,15.6,2393.0
2988,60950,Margin of Error,Did not work,126.0,4.3,421.0
2989,60950,Margin of Error,Population 16 years and over,264.0,2.8,407.0
2990,60950,Margin of Error,"Worked full-time, year-round in the past 12 months",34.0,0.9,344.0
2991,60950,Margin of Error,Worked part-time or part-year in the past 12 months,276.0,10.4,425.0
2992,60951,Estimate,Did not work,46.0,21.9,210.0
2993,60951,Estimate,Population 16 years and over,121.0,17.5,690.0
2994,60951,Estimate,"Worked full-time, year-round in the past 12 months",32.0,10.2,313.0
2995,60951,Estimate,Worked part-time or part-year in the past 12 months,43.0,25.7,167.0
2996,60951,Margin of Error,Did not work,30.0,12.6,56.0
2997,60951,Margin of Error,Population 16 years and over,58.0,7.9,112.0
2998,60951,Margin of Error,"Worked full-time, year-round in the past 12 months",28.0,8.6,66.0
2999,60951,Margin of Error,Worked part-time or part-year in the past 12 months,30.0,14.7,57.0
3000,60952,Estimate,Did not work,29.0,22.3,130.0
3001,60952,Estimate,Population 16 years and over,61.0,15.0,407.0
3002,60952,Estimate,"Worked full-time, year-round in the past 12 months",14.0,8.4,167.0
3003,60952,Estimate,Worked part-time or part-year in the past 12 months,18.0,16.4,110.0
3004,60952,Margin of Error,Did not work,18.0,11.9,33.0
3005,60952,Margin of Error,Population 16 years and over,30.0,7.0,71.0
3006,60952,Margin of Error,"Worked full-time, year-round in the past 12 months",15.0,8.8,42.0
3007,60952,Margin of Error,Worked part-time or part-year in the past 12 months,15.0,12.4,36.0
3008,60953,Estimate,Did not work,85.0,12.0,711.0
3009,60953,Estimate,Population 16 years and over,213.0,10.5,2019.0
3010,60953,Estimate,"Worked full-time, year-round in the past 12 months",18.0,2.1,843.0
3011,60953,Estimate,Worked part-time or part-year in the past 12 months,110.0,23.7,465.0
3012,60953,Margin of Error,Did not work,31.0,4.2,114.0
3013,60953,Margin of Error,Population 16 years and over,72.0,3.4,168.0
3014,60953,Margin of Error,"Worked full-time, year-round in the past 12 months",16.0,1.8,121.0
3015,60953,Margin of Error,Worked part-time or part-year in the past 12 months,60.0,11.8,100.0
3016,60954,Estimate,Did not work,371.0,19.6,1893.0
3017,60954,Estimate,Population 16 years and over,552.0,12.2,4539.0
3018,60954,Estimate,"Worked full-time, year-round in the past 12 months",22.0,1.3,1677.0
3019,60954,Estimate,Worked part-time or part-year in the past 12 months,159.0,16.4,969.0
3020,60954,Margin of Error,Did not work,132.0,6.6,289.0
3021,60954,Margin of Error,Population 16 years and over,188.0,4.1,244.0
3022,60954,Margin of Error,"Worked full-time, year-round in the past 12 months",33.0,2.0,209.0
3023,60954,Margin of Error,Worked part-time or part-year in the past 12 months,126.0,11.9,228.0
3024,60955,Estimate,Did not work,86.0,15.1,571.0
3025,60955,Estimate,Population 16 years and over,141.0,10.9,1292.0
3026,60955,Estimate,"Worked full-time, year-round in the past 12 months",28.0,5.1,544.0
3027,60955,Estimate,Worked part-time or part-year in the past 12 months,27.0,15.3,177.0
3028,60955,Margin of Error,Did not work,46.0,7.8,125.0
3029,60955,Margin of Error,Population 16 years and over,72.0,5.2,188.0
3030,60955,Margin of Error,"Worked full-time, year-round in the past 12 months",29.0,5.1,92.0
3031,60955,Margin of Error,Worked part-time or part-year in the past 12 months,18.0,10.0,45.0
3032,60957,Estimate,Did not work,214.0,17.6,1215.0
3033,60957,Estimate,Population 16 years and over,357.0,9.0,3982.0
3034,60957,Estimate,"Worked full-time, year-round in the past 12 months",74.0,3.7,1997.0
3035,60957,Estimate,Worked part-time or part-year in the past 12 months,69.0,9.0,770.0
3036,60957,Margin of Error,Did not work,98.0,7.7,212.0
3037,60957,Margin of Error,Population 16 years and over,139.0,3.5,260.0
3038,60957,Margin of Error,"Worked full-time, year-round in the past 12 months",61.0,3.1,194.0
3039,60957,Margin of Error,Worked part-time or part-year in the past 12 months,53.0,6.7,123.0
3040,60958,Estimate,Did not work,191.0,26.6,719.0
3041,60958,Estimate,Population 16 years and over,239.0,18.7,1281.0
3042,60958,Estimate,"Worked full-time, year-round in the past 12 months",4.0,1.2,339.0
3043,60958,Estimate,Worked part-time or part-year in the past 12 months,44.0,19.7,223.0
3044,60958,Margin of Error,Did not work,57.0,9.3,154.0
3045,60958,Margin of Error,Population 16 years and over,63.0,5.8,222.0
3046,60958,Margin of Error,"Worked full-time, year-round in the past 12 months",6.0,1.7,114.0
3047,60958,Margin of Error,Worked part-time or part-year in the past 12 months,30.0,14.0,85.0
3048,60959,Estimate,Did not work,37.0,14.8,250.0
3049,60959,Estimate,Population 16 years and over,102.0,12.1,844.0
3050,60959,Estimate,"Worked full-time, year-round in the past 12 months",8.0,2.1,380.0
3051,60959,Estimate,Worked part-time or part-year in the past 12 months,57.0,26.6,214.0
3052,60959,Margin of Error,Did not work,18.0,7.0,49.0
3053,60959,Margin of Error,Population 16 years and over,50.0,5.7,100.0
3054,60959,Margin of Error,"Worked full-time, year-round in the past 12 months",9.0,2.6,64.0
3055,60959,Margin of Error,Worked part-time or part-year in the past 12 months,46.0,17.8,64.0
3056,60960,Estimate,Did not work,39.0,16.5,237.0
3057,60960,Estimate,Population 16 years and over,70.0,10.4,671.0
3058,60960,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,273.0
3059,60960,Estimate,Worked part-time or part-year in the past 12 months,31.0,19.3,161.0
3060,60960,Margin of Error,Did not work,17.0,7.6,54.0
3061,60960,Margin of Error,Population 16 years and over,42.0,6.0,123.0
3062,60960,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,11.2,61.0
3063,60960,Margin of Error,Worked part-time or part-year in the past 12 months,39.0,20.7,67.0
3064,60961,Estimate,Did not work,47.0,18.7,251.0
3065,60961,Estimate,Population 16 years and over,48.0,7.7,623.0
3066,60961,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,234.0
3067,60961,Estimate,Worked part-time or part-year in the past 12 months,1.0,0.7,138.0
3068,60961,Margin of Error,Did not work,45.0,16.0,91.0
3069,60961,Margin of Error,Population 16 years and over,45.0,6.2,171.0
3070,60961,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,12.9,103.0
3071,60961,Margin of Error,Worked part-time or part-year in the past 12 months,4.0,2.6,55.0
3072,60962,Estimate,Did not work,46.0,26.1,176.0
3073,60962,Estimate,Population 16 years and over,112.0,22.4,501.0
3074,60962,Estimate,"Worked full-time, year-round in the past 12 months",13.0,6.4,203.0
3075,60962,Estimate,Worked part-time or part-year in the past 12 months,53.0,43.4,122.0
3076,60962,Margin of Error,Did not work,24.0,13.2,47.0
3077,60962,Margin of Error,Population 16 years and over,49.0,9.0,106.0
3078,60962,Margin of Error,"Worked full-time, year-round in the past 12 months",11.0,5.4,61.0
3079,60962,Margin of Error,Worked part-time or part-year in the past 12 months,29.0,17.8,43.0
3080,60963,Estimate,Did not work,64.0,16.2,395.0
3081,60963,Estimate,Population 16 years and over,104.0,9.6,1087.0
3082,60963,Estimate,"Worked full-time, year-round in the past 12 months",7.0,1.7,409.0
3083,60963,Estimate,Worked part-time or part-year in the past 12 months,33.0,11.7,283.0
3084,60963,Margin of Error,Did not work,24.0,6.1,77.0
3085,60963,Margin of Error,Population 16 years and over,36.0,3.3,154.0
3086,60963,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,2.7,93.0
3087,60963,Margin of Error,Worked part-time or part-year in the past 12 months,18.0,6.7,74.0
3088,60964,Estimate,Did not work,315.0,20.4,1544.0
3089,60964,Estimate,Population 16 years and over,413.0,10.5,3932.0
3090,60964,Estimate,"Worked full-time, year-round in the past 12 months",31.0,2.1,1497.0
3091,60964,Estimate,Worked part-time or part-year in the past 12 months,67.0,7.5,891.0
3092,60964,Margin of Error,Did not work,117.0,6.5,191.0
3093,60964,Margin of Error,Population 16 years and over,128.0,3.2,258.0
3094,60964,Margin of Error,"Worked full-time, year-round in the past 12 months",25.0,1.7,191.0
3095,60964,Margin of Error,Worked part-time or part-year in the past 12 months,31.0,3.7,146.0
3096,60966,Estimate,Did not work,122.0,31.9,382.0
3097,60966,Estimate,Population 16 years and over,198.0,16.2,1219.0
3098,60966,Estimate,"Worked full-time, year-round in the past 12 months",2.0,0.4,463.0
3099,60966,Estimate,Worked part-time or part-year in the past 12 months,74.0,19.8,374.0
3100,60966,Margin of Error,Did not work,78.0,16.8,101.0
3101,60966,Margin of Error,Population 16 years and over,97.0,7.0,202.0
3102,60966,Margin of Error,"Worked full-time, year-round in the past 12 months",4.0,0.8,111.0
3103,60966,Margin of Error,Worked part-time or part-year in the past 12 months,48.0,10.4,111.0
3104,60968,Estimate,Did not work,31.0,24.6,126.0
3105,60968,Estimate,Population 16 years and over,69.0,21.4,323.0
3106,60968,Estimate,"Worked full-time, year-round in the past 12 months",13.0,11.5,113.0
3107,60968,Estimate,Worked part-time or part-year in the past 12 months,25.0,29.8,84.0
3108,60968,Margin of Error,Did not work,23.0,17.4,37.0
3109,60968,Margin of Error,Population 16 years and over,43.0,11.7,72.0
3110,60968,Margin of Error,"Worked full-time, year-round in the past 12 months",14.0,11.0,35.0
3111,60968,Margin of Error,Worked part-time or part-year in the past 12 months,24.0,21.3,37.0
3112,60969,Estimate,Did not work,0.0,0.0,4.0
3113,60969,Estimate,Population 16 years and over,2.0,4.8,42.0
3114,60969,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,26.0
3115,60969,Estimate,Worked part-time or part-year in the past 12 months,2.0,16.7,12.0
3116,60969,Margin of Error,Did not work,12.0,100.0,5.0
3117,60969,Margin of Error,Population 16 years and over,3.0,7.0,18.0
3118,60969,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,58.2,15.0
3119,60969,Margin of Error,Worked part-time or part-year in the past 12 months,3.0,24.0,9.0
3120,60970,Estimate,Did not work,383.0,19.7,1949.0
3121,60970,Estimate,Population 16 years and over,659.0,12.0,5470.0
3122,60970,Estimate,"Worked full-time, year-round in the past 12 months",37.0,1.6,2247.0
3123,60970,Estimate,Worked part-time or part-year in the past 12 months,239.0,18.8,1274.0
3124,60970,Margin of Error,Did not work,138.0,5.9,273.0
3125,60970,Margin of Error,Population 16 years and over,176.0,3.0,265.0
3126,60970,Margin of Error,"Worked full-time, year-round in the past 12 months",55.0,2.4,254.0
3127,60970,Margin of Error,Worked part-time or part-year in the past 12 months,108.0,8.3,200.0
3128,60973,Estimate,Did not work,19.0,22.4,85.0
3129,60973,Estimate,Population 16 years and over,34.0,14.0,243.0
3130,60973,Estimate,"Worked full-time, year-round in the past 12 months",5.0,5.1,98.0
3131,60973,Estimate,Worked part-time or part-year in the past 12 months,10.0,16.7,60.0
3132,60973,Margin of Error,Did not work,18.0,16.7,39.0
3133,60973,Margin of Error,Population 16 years and over,23.0,9.3,93.0
3134,60973,Margin of Error,"Worked full-time, year-round in the past 12 months",8.0,7.8,51.0
3135,60973,Margin of Error,Worked part-time or part-year in the past 12 months,11.0,19.4,38.0
3136,60974,Estimate,Did not work,22.0,21.8,101.0
3137,60974,Estimate,Population 16 years and over,32.0,13.9,231.0
3138,60974,Estimate,"Worked full-time, year-round in the past 12 months",4.0,5.1,79.0
3139,60974,Estimate,Worked part-time or part-year in the past 12 months,6.0,11.8,51.0
3140,60974,Margin of Error,Did not work,20.0,19.3,57.0
3141,60974,Margin of Error,Population 16 years and over,23.0,9.1,75.0
3142,60974,Margin of Error,"Worked full-time, year-round in the past 12 months",6.0,7.0,33.0
3143,60974,Margin of Error,Worked part-time or part-year in the past 12 months,9.0,16.6,20.0
3144,61001,Estimate,Did not work,102.0,21.9,466.0
3145,61001,Estimate,Population 16 years and over,155.0,16.0,967.0
3146,61001,Estimate,"Worked full-time, year-round in the past 12 months",10.0,3.7,269.0
3147,61001,Estimate,Worked part-time or part-year in the past 12 months,43.0,18.5,232.0
3148,61001,Margin of Error,Did not work,83.0,14.7,133.0
3149,61001,Margin of Error,Population 16 years and over,116.0,10.3,194.0
3150,61001,Margin of Error,"Worked full-time, year-round in the past 12 months",11.0,3.9,70.0
3151,61001,Margin of Error,Worked part-time or part-year in the past 12 months,36.0,13.3,61.0
3152,61006,Estimate,Did not work,86.0,19.2,447.0
3153,61006,Estimate,Population 16 years and over,162.0,12.9,1258.0
3154,61006,Estimate,"Worked full-time, year-round in the past 12 months",5.0,1.1,460.0
3155,61006,Estimate,Worked part-time or part-year in the past 12 months,71.0,20.2,351.0
3156,61006,Margin of Error,Did not work,51.0,12.0,138.0
3157,61006,Margin of Error,Population 16 years and over,94.0,7.5,159.0
3158,61006,Margin of Error,"Worked full-time, year-round in the past 12 months",8.0,1.7,90.0
3159,61006,Margin of Error,Worked part-time or part-year in the past 12 months,49.0,12.4,84.0
3160,61007,Estimate,Did not work,0.0,0.0,78.0
3161,61007,Estimate,Population 16 years and over,4.0,1.5,260.0
3162,61007,Estimate,"Worked full-time, year-round in the past 12 months",4.0,3.3,121.0
3163,61007,Estimate,Worked part-time or part-year in the past 12 months,0.0,0.0,61.0
3164,61007,Margin of Error,Did not work,12.0,32.7,43.0
3165,61007,Margin of Error,Population 16 years and over,5.0,2.1,76.0
3166,61007,Margin of Error,"Worked full-time, year-round in the past 12 months",5.0,4.7,53.0
3167,61007,Margin of Error,Worked part-time or part-year in the past 12 months,12.0,38.0,37.0
3168,61008,Estimate,Did not work,1603.0,18.8,8516.0
3169,61008,Estimate,Population 16 years and over,2667.0,10.0,26800.0
3170,61008,Estimate,"Worked full-time, year-round in the past 12 months",356.0,3.4,10446.0
3171,61008,Estimate,Worked part-time or part-year in the past 12 months,708.0,9.0,7838.0
3172,61008,Margin of Error,Did not work,377.0,4.1,714.0
3173,61008,Margin of Error,Population 16 years and over,548.0,2.1,702.0
3174,61008,Margin of Error,"Worked full-time, year-round in the past 12 months",187.0,1.8,733.0
3175,61008,Margin of Error,Worked part-time or part-year in the past 12 months,200.0,2.6,781.0
3176,61010,Estimate,Did not work,212.0,14.5,1467.0
3177,61010,Estimate,Population 16 years and over,357.0,6.3,5702.0
3178,61010,Estimate,"Worked full-time, year-round in the past 12 months",9.0,0.3,2944.0
3179,61010,Estimate,Worked part-time or part-year in the past 12 months,136.0,10.5,1291.0
3180,61010,Margin of Error,Did not work,134.0,8.1,258.0
3181,61010,Margin of Error,Population 16 years and over,159.0,2.8,313.0
3182,61010,Margin of Error,"Worked full-time, year-round in the past 12 months",14.0,0.5,313.0
3183,61010,Margin of Error,Worked part-time or part-year in the past 12 months,74.0,5.6,224.0
3184,61011,Estimate,Did not work,0.0,0.0,491.0
3185,61011,Estimate,Population 16 years and over,3.0,0.1,2036.0
3186,61011,Estimate,"Worked full-time, year-round in the past 12 months",1.0,0.1,859.0
3187,61011,Estimate,Worked part-time or part-year in the past 12 months,2.0,0.3,686.0
3188,61011,Margin of Error,Did not work,12.0,6.4,131.0
3189,61011,Margin of Error,Population 16 years and over,4.0,0.2,388.0
3190,61011,Margin of Error,"Worked full-time, year-round in the past 12 months",3.0,0.4,193.0
3191,61011,Margin of Error,Worked part-time or part-year in the past 12 months,4.0,0.5,258.0
3192,61012,Estimate,Did not work,38.0,10.6,360.0
3193,61012,Estimate,Population 16 years and over,117.0,5.9,1970.0
3194,61012,Estimate,"Worked full-time, year-round in the past 12 months",18.0,1.8,973.0
3195,61012,Estimate,Worked part-time or part-year in the past 12 months,61.0,9.6,637.0
3196,61012,Margin of Error,Did not work,32.0,8.1,108.0
3197,61012,Margin of Error,Population 16 years and over,72.0,3.6,309.0
3198,61012,Margin of Error,"Worked full-time, year-round in the past 12 months",25.0,2.5,214.0
3199,61012,Margin of Error,Worked part-time or part-year in the past 12 months,50.0,8.0,190.0
3200,61013,Estimate,Did not work,16.0,14.2,113.0
3201,61013,Estimate,Population 16 years and over,28.0,8.5,328.0
3202,61013,Estimate,"Worked full-time, year-round in the past 12 months",6.0,3.9,155.0
3203,61013,Estimate,Worked part-time or part-year in the past 12 months,6.0,10.0,60.0
3204,61013,Margin of Error,Did not work,15.0,12.7,34.0
3205,61013,Margin of Error,Population 16 years and over,20.0,6.4,62.0
3206,61013,Margin of Error,"Worked full-time, year-round in the past 12 months",7.0,4.7,42.0
3207,61013,Margin of Error,Worked part-time or part-year in the past 12 months,7.0,11.5,24.0
3208,61014,Estimate,Did not work,9.0,3.7,242.0
3209,61014,Estimate,Population 16 years and over,105.0,11.3,929.0
3210,61014,Estimate,"Worked full-time, year-round in the past 12 months",20.0,4.3,470.0
3211,61014,Estimate,Worked part-time or part-year in the past 12 months,76.0,35.0,217.0
3212,61014,Margin of Error,Did not work,11.0,4.4,53.0
3213,61014,Margin of Error,Population 16 years and over,85.0,8.1,177.0
3214,61014,Margin of Error,"Worked full-time, year-round in the past 12 months",28.0,5.7,125.0
3215,61014,Margin of Error,Worked part-time or part-year in the past 12 months,76.0,27.0,78.0
3216,61015,Estimate,Did not work,0.0,0.0,298.0
3217,61015,Estimate,Population 16 years and over,5.0,0.7,710.0
3218,61015,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,258.0
3219,61015,Estimate,Worked part-time or part-year in the past 12 months,5.0,3.2,154.0
3220,61015,Margin of Error,Did not work,12.0,10.3,178.0
3221,61015,Margin of Error,Population 16 years and over,9.0,1.3,317.0
3222,61015,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,11.8,97.0
3223,61015,Margin of Error,Worked part-time or part-year in the past 12 months,9.0,5.8,91.0
3224,61016,Estimate,Did not work,217.0,14.9,1455.0
3225,61016,Estimate,Population 16 years and over,296.0,7.2,4096.0
3226,61016,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,1728.0
3227,61016,Estimate,Worked part-time or part-year in the past 12 months,79.0,8.7,913.0
3228,61016,Margin of Error,Did not work,152.0,9.3,263.0
3229,61016,Margin of Error,Population 16 years and over,155.0,3.7,397.0
3230,61016,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,1.9,263.0
3231,61016,Margin of Error,Worked part-time or part-year in the past 12 months,57.0,6.0,181.0
3232,61018,Estimate,Did not work,12.0,3.7,323.0
3233,61018,Estimate,Population 16 years and over,53.0,5.9,903.0
3234,61018,Estimate,"Worked full-time, year-round in the past 12 months",8.0,2.5,324.0
3235,61018,Estimate,Worked part-time or part-year in the past 12 months,33.0,12.9,256.0
3236,61018,Margin of Error,Did not work,12.0,3.8,92.0
3237,61018,Margin of Error,Population 16 years and over,37.0,4.0,167.0
3238,61018,Margin of Error,"Worked full-time, year-round in the past 12 months",10.0,3.1,82.0
3239,61018,Margin of Error,Worked part-time or part-year in the past 12 months,33.0,12.0,99.0
3240,61019,Estimate,Did not work,57.0,6.5,878.0
3241,61019,Estimate,Population 16 years and over,111.0,4.3,2559.0
3242,61019,Estimate,"Worked full-time, year-round in the past 12 months",15.0,1.4,1081.0
3243,61019,Estimate,Worked part-time or part-year in the past 12 months,39.0,6.5,600.0
3244,61019,Margin of Error,Did not work,33.0,3.8,216.0
3245,61019,Margin of Error,Population 16 years and over,48.0,1.9,398.0
3246,61019,Margin of Error,"Worked full-time, year-round in the past 12 months",19.0,1.7,194.0
3247,61019,Margin of Error,Worked part-time or part-year in the past 12 months,29.0,5.0,126.0
3248,61020,Estimate,Did not work,132.0,22.7,582.0
3249,61020,Estimate,Population 16 years and over,258.0,12.4,2087.0
3250,61020,Estimate,"Worked full-time, year-round in the past 12 months",57.0,5.8,983.0
3251,61020,Estimate,Worked part-time or part-year in the past 12 months,69.0,13.2,522.0
3252,61020,Margin of Error,Did not work,61.0,9.3,104.0
3253,61020,Margin of Error,Population 16 years and over,105.0,4.9,175.0
3254,61020,Margin of Error,"Worked full-time, year-round in the past 12 months",31.0,3.2,118.0
3255,61020,Margin of Error,Worked part-time or part-year in the past 12 months,47.0,8.5,106.0
3256,61021,Estimate,Did not work,1287.0,23.8,5409.0
3257,61021,Estimate,Population 16 years and over,1903.0,12.1,15692.0
3258,61021,Estimate,"Worked full-time, year-round in the past 12 months",127.0,1.8,6943.0
3259,61021,Estimate,Worked part-time or part-year in the past 12 months,489.0,14.6,3340.0
3260,61021,Margin of Error,Did not work,304.0,5.2,434.0
3261,61021,Margin of Error,Population 16 years and over,377.0,2.4,501.0
3262,61021,Margin of Error,"Worked full-time, year-round in the past 12 months",78.0,1.1,447.0
3263,61021,Margin of Error,Worked part-time or part-year in the past 12 months,197.0,5.4,333.0
3264,61024,Estimate,Did not work,58.0,9.2,629.0
3265,61024,Estimate,Population 16 years and over,95.0,5.0,1915.0
3266,61024,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,832.0
3267,61024,Estimate,Worked part-time or part-year in the past 12 months,37.0,8.1,454.0
3268,61024,Margin of Error,Did not work,31.0,4.7,154.0
3269,61024,Margin of Error,Population 16 years and over,42.0,2.2,307.0
3270,61024,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,3.8,166.0
3271,61024,Margin of Error,Worked part-time or part-year in the past 12 months,23.0,5.2,142.0
3272,61025,Estimate,Did not work,135.0,16.0,846.0
3273,61025,Estimate,Population 16 years and over,399.0,10.4,3832.0
3274,61025,Estimate,"Worked full-time, year-round in the past 12 months",92.0,4.6,2012.0
3275,61025,Estimate,Worked part-time or part-year in the past 12 months,172.0,17.7,974.0
3276,61025,Margin of Error,Did not work,76.0,8.5,151.0
3277,61025,Margin of Error,Population 16 years and over,148.0,4.0,240.0
3278,61025,Margin of Error,"Worked full-time, year-round in the past 12 months",80.0,4.0,249.0
3279,61025,Margin of Error,Worked part-time or part-year in the past 12 months,82.0,7.9,170.0
3280,61027,Estimate,Did not work,0.0,0.0,9.0
3281,61027,Estimate,Population 16 years and over,0.0,0.0,61.0
3282,61027,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,52.0
3283,61027,Estimate,Worked part-time or part-year in the past 12 months,0.0,,0.0
3284,61027,Margin of Error,Did not work,12.0,98.9,12.0
3285,61027,Margin of Error,Population 16 years and over,12.0,38.0,79.0
3286,61027,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,41.1,79.0
3287,61027,Margin of Error,Worked part-time or part-year in the past 12 months,12.0,,12.0
3288,61028,Estimate,Did not work,88.0,19.8,444.0
3289,61028,Estimate,Population 16 years and over,139.0,9.1,1525.0
3290,61028,Estimate,"Worked full-time, year-round in the past 12 months",3.0,0.4,677.0
3291,61028,Estimate,Worked part-time or part-year in the past 12 months,48.0,11.9,404.0
3292,61028,Margin of Error,Did not work,44.0,9.4,93.0
3293,61028,Margin of Error,Population 16 years and over,59.0,3.6,170.0
3294,61028,Margin of Error,"Worked full-time, year-round in the past 12 months",4.0,0.6,104.0
3295,61028,Margin of Error,Worked part-time or part-year in the past 12 months,36.0,8.0,75.0
3296,61030,Estimate,Did not work,134.0,17.8,753.0
3297,61030,Estimate,Population 16 years and over,161.0,8.9,1817.0
3298,61030,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,618.0
3299,61030,Estimate,Worked part-time or part-year in the past 12 months,27.0,6.1,446.0
3300,61030,Margin of Error,Did not work,59.0,8.0,201.0
3301,61030,Margin of Error,Population 16 years and over,66.0,3.7,299.0
3302,61030,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,5.1,109.0
3303,61030,Margin of Error,Worked part-time or part-year in the past 12 months,21.0,5.0,138.0
3304,61031,Estimate,Did not work,40.0,8.3,483.0
3305,61031,Estimate,Population 16 years and over,95.0,7.5,1270.0
3306,61031,Estimate,"Worked full-time, year-round in the past 12 months",2.0,0.5,443.0
3307,61031,Estimate,Worked part-time or part-year in the past 12 months,53.0,15.4,344.0
3308,61031,Margin of Error,Did not work,23.0,5.6,161.0
3309,61031,Margin of Error,Population 16 years and over,44.0,3.4,276.0
3310,61031,Margin of Error,"Worked full-time, year-round in the past 12 months",4.0,0.9,114.0
3311,61031,Margin of Error,Worked part-time or part-year in the past 12 months,31.0,8.1,126.0
3312,61032,Estimate,Did not work,2382.0,27.8,8555.0
3313,61032,Estimate,Population 16 years and over,3830.0,16.4,23303.0
3314,61032,Estimate,"Worked full-time, year-round in the past 12 months",263.0,2.9,8972.0
3315,61032,Estimate,Worked part-time or part-year in the past 12 months,1185.0,20.5,5776.0
3316,61032,Margin of Error,Did not work,377.0,3.8,469.0
3317,61032,Margin of Error,Population 16 years and over,547.0,2.3,378.0
3318,61032,Margin of Error,"Worked full-time, year-round in the past 12 months",124.0,1.4,588.0
3319,61032,Margin of Error,Worked part-time or part-year in the past 12 months,295.0,4.4,402.0
3320,61036,Estimate,Did not work,197.0,9.1,2155.0
3321,61036,Estimate,Population 16 years and over,325.0,5.7,5726.0
3322,61036,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,2086.0
3323,61036,Estimate,Worked part-time or part-year in the past 12 months,128.0,8.6,1485.0
3324,61036,Margin of Error,Did not work,106.0,5.2,314.0
3325,61036,Margin of Error,Population 16 years and over,148.0,2.6,342.0
3326,61036,Margin of Error,"Worked full-time, year-round in the past 12 months",17.0,1.5,302.0
3327,61036,Margin of Error,Worked part-time or part-year in the past 12 months,104.0,6.8,220.0
3328,61037,Estimate,Did not work,0.0,0.0,71.0
3329,61037,Estimate,Population 16 years and over,0.0,0.0,97.0
3330,61037,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,17.0
3331,61037,Estimate,Worked part-time or part-year in the past 12 months,0.0,0.0,9.0
3332,61037,Margin of Error,Did not work,12.0,34.8,74.0
3333,61037,Margin of Error,Population 16 years and over,12.0,27.8,76.0
3334,61037,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,71.9,14.0
3335,61037,Margin of Error,Worked part-time or part-year in the past 12 months,12.0,98.9,14.0
3336,61038,Estimate,Did not work,77.0,28.6,269.0
3337,61038,Estimate,Population 16 years and over,77.0,10.3,745.0
3338,61038,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,254.0
3339,61038,Estimate,Worked part-time or part-year in the past 12 months,0.0,0.0,222.0
3340,61038,Margin of Error,Did not work,84.0,20.8,156.0
3341,61038,Margin of Error,Population 16 years and over,84.0,10.6,279.0
3342,61038,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,12.0,131.0
3343,61038,Margin of Error,Worked part-time or part-year in the past 12 months,12.0,13.6,131.0
3344,61039,Estimate,Did not work,34.0,23.0,148.0
3345,61039,Estimate,Population 16 years and over,56.0,9.0,621.0
