,Zipcode,Stats,ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,Below poverty level,Percent below poverty level,Total
1105,60107,Estimate,150 percent of poverty level,,,5136.0
1106,60107,Estimate,185 percent of poverty level,,,7406.0
1107,60107,Estimate,200 percent of poverty level,,,8728.0
1108,60107,Estimate,300 percent of poverty level,,,16588.0
1109,60107,Estimate,400 percent of poverty level,,,23314.0
1110,60107,Estimate,50 percent of poverty level,,,1190.0
1111,60107,Estimate,500 percent of poverty level,,,28846.0
1112,60107,Margin of Error,125 percent of poverty level,,,683.0
1113,60107,Margin of Error,150 percent of poverty level,,,896.0
1114,60107,Margin of Error,185 percent of poverty level,,,1137.0
1115,60107,Margin of Error,200 percent of poverty level,,,1221.0
1116,60107,Margin of Error,300 percent of poverty level,,,1743.0
1117,60107,Margin of Error,400 percent of poverty level,,,1955.0
1118,60107,Margin of Error,50 percent of poverty level,,,564.0
1119,60107,Margin of Error,500 percent of poverty level,,,1530.0
1120,60108,Estimate,125 percent of poverty level,,,1933.0
1121,60108,Estimate,150 percent of poverty level,,,2296.0
1122,60108,Estimate,185 percent of poverty level,,,2814.0
1123,60108,Estimate,200 percent of poverty level,,,3102.0
1124,60108,Estimate,300 percent of poverty level,,,5790.0
1125,60108,Estimate,400 percent of poverty level,,,9614.0
1126,60108,Estimate,50 percent of poverty level,,,601.0
1127,60108,Estimate,500 percent of poverty level,,,12539.0
1128,60108,Margin of Error,125 percent of poverty level,,,517.0
1129,60108,Margin of Error,150 percent of poverty level,,,525.0
1130,60108,Margin of Error,185 percent of poverty level,,,580.0
1131,60108,Margin of Error,200 percent of poverty level,,,574.0
1132,60108,Margin of Error,300 percent of poverty level,,,742.0
1133,60108,Margin of Error,400 percent of poverty level,,,963.0
1134,60108,Margin of Error,50 percent of poverty level,,,229.0
1135,60108,Margin of Error,500 percent of poverty level,,,1344.0
1136,60109,Estimate,125 percent of poverty level,,,33.0
1137,60109,Estimate,150 percent of poverty level,,,40.0
1138,60109,Estimate,185 percent of poverty level,,,58.0
1139,60109,Estimate,200 percent of poverty level,,,66.0
1140,60109,Estimate,300 percent of poverty level,,,126.0
1141,60109,Estimate,400 percent of poverty level,,,204.0
1142,60109,Estimate,50 percent of poverty level,,,13.0
1143,60109,Estimate,500 percent of poverty level,,,226.0
1144,60109,Margin of Error,125 percent of poverty level,,,32.0
1145,60109,Margin of Error,150 percent of poverty level,,,33.0
1146,60109,Margin of Error,185 percent of poverty level,,,37.0
1147,60109,Margin of Error,200 percent of poverty level,,,39.0
1148,60109,Margin of Error,300 percent of poverty level,,,57.0
1149,60109,Margin of Error,400 percent of poverty level,,,82.0
1150,60109,Margin of Error,50 percent of poverty level,,,22.0
1151,60109,Margin of Error,500 percent of poverty level,,,85.0
1152,60110,Estimate,125 percent of poverty level,,,5896.0
1153,60110,Estimate,150 percent of poverty level,,,8253.0
1154,60110,Estimate,185 percent of poverty level,,,11292.0
1155,60110,Estimate,200 percent of poverty level,,,12925.0
1156,60110,Estimate,300 percent of poverty level,,,20502.0
1157,60110,Estimate,400 percent of poverty level,,,27081.0
1158,60110,Estimate,50 percent of poverty level,,,1749.0
1159,60110,Estimate,500 percent of poverty level,,,30992.0
1160,60110,Margin of Error,125 percent of poverty level,,,902.0
1161,60110,Margin of Error,150 percent of poverty level,,,1271.0
1162,60110,Margin of Error,185 percent of poverty level,,,1314.0
1163,60110,Margin of Error,200 percent of poverty level,,,1337.0
1164,60110,Margin of Error,300 percent of poverty level,,,1475.0
1165,60110,Margin of Error,400 percent of poverty level,,,1554.0
1166,60110,Margin of Error,50 percent of poverty level,,,543.0
1167,60110,Margin of Error,500 percent of poverty level,,,1319.0
1168,60111,Estimate,125 percent of poverty level,,,0.0
1169,60111,Estimate,150 percent of poverty level,,,0.0
1170,60111,Estimate,185 percent of poverty level,,,0.0
1171,60111,Estimate,200 percent of poverty level,,,0.0
1172,60111,Estimate,300 percent of poverty level,,,0.0
1173,60111,Estimate,400 percent of poverty level,,,9.0
1174,60111,Estimate,50 percent of poverty level,,,0.0
1175,60111,Estimate,500 percent of poverty level,,,9.0
1176,60111,Margin of Error,125 percent of poverty level,,,12.0
1177,60111,Margin of Error,150 percent of poverty level,,,12.0
1178,60111,Margin of Error,185 percent of poverty level,,,12.0
1179,60111,Margin of Error,200 percent of poverty level,,,12.0
1180,60111,Margin of Error,300 percent of poverty level,,,12.0
1181,60111,Margin of Error,400 percent of poverty level,,,13.0
1182,60111,Margin of Error,50 percent of poverty level,,,12.0
1183,60111,Margin of Error,500 percent of poverty level,,,13.0
1184,60112,Estimate,125 percent of poverty level,,,514.0
1185,60112,Estimate,150 percent of poverty level,,,618.0
1186,60112,Estimate,185 percent of poverty level,,,900.0
1187,60112,Estimate,200 percent of poverty level,,,1142.0
1188,60112,Estimate,300 percent of poverty level,,,1821.0
1189,60112,Estimate,400 percent of poverty level,,,2673.0
1190,60112,Estimate,50 percent of poverty level,,,132.0
1191,60112,Estimate,500 percent of poverty level,,,3186.0
1192,60112,Margin of Error,125 percent of poverty level,,,252.0
1193,60112,Margin of Error,150 percent of poverty level,,,251.0
1194,60112,Margin of Error,185 percent of poverty level,,,299.0
1195,60112,Margin of Error,200 percent of poverty level,,,305.0
1196,60112,Margin of Error,300 percent of poverty level,,,337.0
1197,60112,Margin of Error,400 percent of poverty level,,,433.0
1198,60112,Margin of Error,50 percent of poverty level,,,80.0
1199,60112,Margin of Error,500 percent of poverty level,,,453.0
1200,60113,Estimate,125 percent of poverty level,,,13.0
1201,60113,Estimate,150 percent of poverty level,,,15.0
1202,60113,Estimate,185 percent of poverty level,,,29.0
1203,60113,Estimate,200 percent of poverty level,,,29.0
1204,60113,Estimate,300 percent of poverty level,,,113.0
1205,60113,Estimate,400 percent of poverty level,,,197.0
1206,60113,Estimate,50 percent of poverty level,,,0.0
1207,60113,Estimate,500 percent of poverty level,,,234.0
1208,60113,Margin of Error,125 percent of poverty level,,,15.0
1209,60113,Margin of Error,150 percent of poverty level,,,15.0
1210,60113,Margin of Error,185 percent of poverty level,,,25.0
1211,60113,Margin of Error,200 percent of poverty level,,,25.0
1212,60113,Margin of Error,300 percent of poverty level,,,66.0
1213,60113,Margin of Error,400 percent of poverty level,,,96.0
1214,60113,Margin of Error,50 percent of poverty level,,,12.0
1215,60113,Margin of Error,500 percent of poverty level,,,101.0
1216,60115,Estimate,125 percent of poverty level,,,12245.0
1217,60115,Estimate,150 percent of poverty level,,,13730.0
1218,60115,Estimate,185 percent of poverty level,,,16080.0
1219,60115,Estimate,200 percent of poverty level,,,17715.0
1220,60115,Estimate,300 percent of poverty level,,,24218.0
1221,60115,Estimate,400 percent of poverty level,,,28591.0
1222,60115,Estimate,50 percent of poverty level,,,6735.0
1223,60115,Estimate,500 percent of poverty level,,,32176.0
1224,60115,Margin of Error,125 percent of poverty level,,,1199.0
1225,60115,Margin of Error,150 percent of poverty level,,,1143.0
1226,60115,Margin of Error,185 percent of poverty level,,,1128.0
1227,60115,Margin of Error,200 percent of poverty level,,,1214.0
1228,60115,Margin of Error,300 percent of poverty level,,,1128.0
1229,60115,Margin of Error,400 percent of poverty level,,,1140.0
1230,60115,Margin of Error,50 percent of poverty level,,,858.0
1231,60115,Margin of Error,500 percent of poverty level,,,1109.0
1232,60118,Estimate,125 percent of poverty level,,,1023.0
1233,60118,Estimate,150 percent of poverty level,,,1305.0
1234,60118,Estimate,185 percent of poverty level,,,1706.0
1235,60118,Estimate,200 percent of poverty level,,,1785.0
1236,60118,Estimate,300 percent of poverty level,,,4287.0
1237,60118,Estimate,400 percent of poverty level,,,6041.0
1238,60118,Estimate,50 percent of poverty level,,,385.0
1239,60118,Estimate,500 percent of poverty level,,,8719.0
1240,60118,Margin of Error,125 percent of poverty level,,,303.0
1241,60118,Margin of Error,150 percent of poverty level,,,352.0
1242,60118,Margin of Error,185 percent of poverty level,,,396.0
1243,60118,Margin of Error,200 percent of poverty level,,,404.0
1244,60118,Margin of Error,300 percent of poverty level,,,868.0
1245,60118,Margin of Error,400 percent of poverty level,,,898.0
1246,60118,Margin of Error,50 percent of poverty level,,,256.0
1247,60118,Margin of Error,500 percent of poverty level,,,902.0
1248,60119,Estimate,125 percent of poverty level,,,479.0
1249,60119,Estimate,150 percent of poverty level,,,559.0
1250,60119,Estimate,185 percent of poverty level,,,785.0
1251,60119,Estimate,200 percent of poverty level,,,841.0
1252,60119,Estimate,300 percent of poverty level,,,1919.0
1253,60119,Estimate,400 percent of poverty level,,,3049.0
1254,60119,Estimate,50 percent of poverty level,,,243.0
1255,60119,Estimate,500 percent of poverty level,,,4695.0
1256,60119,Margin of Error,125 percent of poverty level,,,240.0
1257,60119,Margin of Error,150 percent of poverty level,,,258.0
1258,60119,Margin of Error,185 percent of poverty level,,,318.0
1259,60119,Margin of Error,200 percent of poverty level,,,332.0
1260,60119,Margin of Error,300 percent of poverty level,,,788.0
1261,60119,Margin of Error,400 percent of poverty level,,,779.0
1262,60119,Margin of Error,50 percent of poverty level,,,235.0
1263,60119,Margin of Error,500 percent of poverty level,,,770.0
1264,60120,Estimate,125 percent of poverty level,,,8611.0
1265,60120,Estimate,150 percent of poverty level,,,11648.0
1266,60120,Estimate,185 percent of poverty level,,,15611.0
1267,60120,Estimate,200 percent of poverty level,,,17388.0
1268,60120,Estimate,300 percent of poverty level,,,29348.0
1269,60120,Estimate,400 percent of poverty level,,,37368.0
1270,60120,Estimate,50 percent of poverty level,,,2059.0
1271,60120,Estimate,500 percent of poverty level,,,41433.0
1272,60120,Margin of Error,125 percent of poverty level,,,1305.0
1273,60120,Margin of Error,150 percent of poverty level,,,1715.0
1274,60120,Margin of Error,185 percent of poverty level,,,2065.0
1275,60120,Margin of Error,200 percent of poverty level,,,2101.0
1276,60120,Margin of Error,300 percent of poverty level,,,2216.0
1277,60120,Margin of Error,400 percent of poverty level,,,2166.0
1278,60120,Margin of Error,50 percent of poverty level,,,609.0
1279,60120,Margin of Error,500 percent of poverty level,,,2003.0
1280,60123,Estimate,125 percent of poverty level,,,5798.0
1281,60123,Estimate,150 percent of poverty level,,,7961.0
1282,60123,Estimate,185 percent of poverty level,,,11202.0
1283,60123,Estimate,200 percent of poverty level,,,12769.0
1284,60123,Estimate,300 percent of poverty level,,,22746.0
1285,60123,Estimate,400 percent of poverty level,,,30259.0
1286,60123,Estimate,50 percent of poverty level,,,1855.0
1287,60123,Estimate,500 percent of poverty level,,,36740.0
1288,60123,Margin of Error,125 percent of poverty level,,,978.0
1289,60123,Margin of Error,150 percent of poverty level,,,1150.0
1290,60123,Margin of Error,185 percent of poverty level,,,1383.0
1291,60123,Margin of Error,200 percent of poverty level,,,1502.0
1292,60123,Margin of Error,300 percent of poverty level,,,1928.0
1293,60123,Margin of Error,400 percent of poverty level,,,2048.0
1294,60123,Margin of Error,50 percent of poverty level,,,542.0
1295,60123,Margin of Error,500 percent of poverty level,,,2354.0
1296,60124,Estimate,125 percent of poverty level,,,514.0
1297,60124,Estimate,150 percent of poverty level,,,535.0
1298,60124,Estimate,185 percent of poverty level,,,1438.0
1299,60124,Estimate,200 percent of poverty level,,,1808.0
1300,60124,Estimate,300 percent of poverty level,,,3234.0
1301,60124,Estimate,400 percent of poverty level,,,4642.0
1302,60124,Estimate,50 percent of poverty level,,,92.0
1303,60124,Estimate,500 percent of poverty level,,,8541.0
1304,60124,Margin of Error,125 percent of poverty level,,,312.0
1305,60124,Margin of Error,150 percent of poverty level,,,315.0
1306,60124,Margin of Error,185 percent of poverty level,,,625.0
1307,60124,Margin of Error,200 percent of poverty level,,,685.0
1308,60124,Margin of Error,300 percent of poverty level,,,1009.0
1309,60124,Margin of Error,400 percent of poverty level,,,1112.0
1310,60124,Margin of Error,50 percent of poverty level,,,114.0
1311,60124,Margin of Error,500 percent of poverty level,,,1635.0
1312,60126,Estimate,125 percent of poverty level,,,2452.0
1313,60126,Estimate,150 percent of poverty level,,,3016.0
1314,60126,Estimate,185 percent of poverty level,,,3846.0
1315,60126,Estimate,200 percent of poverty level,,,4341.0
1316,60126,Estimate,300 percent of poverty level,,,8035.0
1317,60126,Estimate,400 percent of poverty level,,,12949.0
1318,60126,Estimate,50 percent of poverty level,,,918.0
1319,60126,Estimate,500 percent of poverty level,,,17617.0
1320,60126,Margin of Error,125 percent of poverty level,,,469.0
1321,60126,Margin of Error,150 percent of poverty level,,,528.0
1322,60126,Margin of Error,185 percent of poverty level,,,630.0
1323,60126,Margin of Error,200 percent of poverty level,,,685.0
1324,60126,Margin of Error,300 percent of poverty level,,,884.0
1325,60126,Margin of Error,400 percent of poverty level,,,1218.0
1326,60126,Margin of Error,50 percent of poverty level,,,252.0
1327,60126,Margin of Error,500 percent of poverty level,,,1254.0
1328,60129,Estimate,125 percent of poverty level,,,35.0
1329,60129,Estimate,150 percent of poverty level,,,35.0
1330,60129,Estimate,185 percent of poverty level,,,74.0
1331,60129,Estimate,200 percent of poverty level,,,76.0
1332,60129,Estimate,300 percent of poverty level,,,94.0
1333,60129,Estimate,400 percent of poverty level,,,110.0
1334,60129,Estimate,50 percent of poverty level,,,0.0
1335,60129,Estimate,500 percent of poverty level,,,116.0
1336,60129,Margin of Error,125 percent of poverty level,,,56.0
1337,60129,Margin of Error,150 percent of poverty level,,,56.0
1338,60129,Margin of Error,185 percent of poverty level,,,78.0
1339,60129,Margin of Error,200 percent of poverty level,,,79.0
1340,60129,Margin of Error,300 percent of poverty level,,,80.0
1341,60129,Margin of Error,400 percent of poverty level,,,83.0
1342,60129,Margin of Error,50 percent of poverty level,,,12.0
1343,60129,Margin of Error,500 percent of poverty level,,,82.0
1344,60130,Estimate,125 percent of poverty level,,,1488.0
1345,60130,Estimate,150 percent of poverty level,,,1847.0
1346,60130,Estimate,185 percent of poverty level,,,2380.0
1347,60130,Estimate,200 percent of poverty level,,,2635.0
1348,60130,Estimate,300 percent of poverty level,,,4433.0
1349,60130,Estimate,400 percent of poverty level,,,5901.0
1350,60130,Estimate,50 percent of poverty level,,,597.0
1351,60130,Estimate,500 percent of poverty level,,,7587.0
1352,60130,Margin of Error,125 percent of poverty level,,,356.0
1353,60130,Margin of Error,150 percent of poverty level,,,380.0
1354,60130,Margin of Error,185 percent of poverty level,,,396.0
1355,60130,Margin of Error,200 percent of poverty level,,,396.0
1356,60130,Margin of Error,300 percent of poverty level,,,604.0
1357,60130,Margin of Error,400 percent of poverty level,,,714.0
1358,60130,Margin of Error,50 percent of poverty level,,,219.0
1359,60130,Margin of Error,500 percent of poverty level,,,792.0
1360,60131,Estimate,125 percent of poverty level,,,2756.0
1361,60131,Estimate,150 percent of poverty level,,,3413.0
1362,60131,Estimate,185 percent of poverty level,,,4364.0
1363,60131,Estimate,200 percent of poverty level,,,5053.0
1364,60131,Estimate,300 percent of poverty level,,,8091.0
1365,60131,Estimate,400 percent of poverty level,,,11298.0
1366,60131,Estimate,50 percent of poverty level,,,655.0
1367,60131,Estimate,500 percent of poverty level,,,13735.0
1368,60131,Margin of Error,125 percent of poverty level,,,797.0
1369,60131,Margin of Error,150 percent of poverty level,,,888.0
1370,60131,Margin of Error,185 percent of poverty level,,,860.0
1371,60131,Margin of Error,200 percent of poverty level,,,864.0
1372,60131,Margin of Error,300 percent of poverty level,,,1122.0
1373,60131,Margin of Error,400 percent of poverty level,,,917.0
1374,60131,Margin of Error,50 percent of poverty level,,,292.0
1375,60131,Margin of Error,500 percent of poverty level,,,759.0
1376,60133,Estimate,125 percent of poverty level,,,5416.0
1377,60133,Estimate,150 percent of poverty level,,,7020.0
1378,60133,Estimate,185 percent of poverty level,,,9081.0
1379,60133,Estimate,200 percent of poverty level,,,9933.0
1380,60133,Estimate,300 percent of poverty level,,,17047.0
1381,60133,Estimate,400 percent of poverty level,,,24339.0
1382,60133,Estimate,50 percent of poverty level,,,2072.0
1383,60133,Estimate,500 percent of poverty level,,,29366.0
1384,60133,Margin of Error,125 percent of poverty level,,,1105.0
1385,60133,Margin of Error,150 percent of poverty level,,,1256.0
1386,60133,Margin of Error,185 percent of poverty level,,,1258.0
1387,60133,Margin of Error,200 percent of poverty level,,,1380.0
1388,60133,Margin of Error,300 percent of poverty level,,,1409.0
1389,60133,Margin of Error,400 percent of poverty level,,,1180.0
1390,60133,Margin of Error,50 percent of poverty level,,,631.0
1391,60133,Margin of Error,500 percent of poverty level,,,969.0
1392,60134,Estimate,125 percent of poverty level,,,1470.0
1393,60134,Estimate,150 percent of poverty level,,,1762.0
1394,60134,Estimate,185 percent of poverty level,,,2919.0
1395,60134,Estimate,200 percent of poverty level,,,3091.0
1396,60134,Estimate,300 percent of poverty level,,,5299.0
1397,60134,Estimate,400 percent of poverty level,,,8770.0
1398,60134,Estimate,50 percent of poverty level,,,430.0
1399,60134,Estimate,500 percent of poverty level,,,11562.0
1400,60134,Margin of Error,125 percent of poverty level,,,572.0
1401,60134,Margin of Error,150 percent of poverty level,,,627.0
1402,60134,Margin of Error,185 percent of poverty level,,,841.0
1403,60134,Margin of Error,200 percent of poverty level,,,860.0
1404,60134,Margin of Error,300 percent of poverty level,,,940.0
1405,60134,Margin of Error,400 percent of poverty level,,,1171.0
1406,60134,Margin of Error,50 percent of poverty level,,,235.0
1407,60134,Margin of Error,500 percent of poverty level,,,1302.0
1408,60135,Estimate,125 percent of poverty level,,,650.0
1409,60135,Estimate,150 percent of poverty level,,,702.0
1410,60135,Estimate,185 percent of poverty level,,,947.0
1411,60135,Estimate,200 percent of poverty level,,,1000.0
1412,60135,Estimate,300 percent of poverty level,,,2243.0
1413,60135,Estimate,400 percent of poverty level,,,3413.0
1414,60135,Estimate,50 percent of poverty level,,,453.0
1415,60135,Estimate,500 percent of poverty level,,,4570.0
1416,60135,Margin of Error,125 percent of poverty level,,,309.0
1417,60135,Margin of Error,150 percent of poverty level,,,326.0
1418,60135,Margin of Error,185 percent of poverty level,,,366.0
1419,60135,Margin of Error,200 percent of poverty level,,,361.0
1420,60135,Margin of Error,300 percent of poverty level,,,559.0
1421,60135,Margin of Error,400 percent of poverty level,,,606.0
1422,60135,Margin of Error,50 percent of poverty level,,,279.0
1423,60135,Margin of Error,500 percent of poverty level,,,646.0
1424,60136,Estimate,125 percent of poverty level,,,334.0
1425,60136,Estimate,150 percent of poverty level,,,334.0
1426,60136,Estimate,185 percent of poverty level,,,394.0
1427,60136,Estimate,200 percent of poverty level,,,394.0
1428,60136,Estimate,300 percent of poverty level,,,1406.0
1429,60136,Estimate,400 percent of poverty level,,,2286.0
1430,60136,Estimate,50 percent of poverty level,,,118.0
1431,60136,Estimate,500 percent of poverty level,,,3291.0
1432,60136,Margin of Error,125 percent of poverty level,,,524.0
1433,60136,Margin of Error,150 percent of poverty level,,,524.0
1434,60136,Margin of Error,185 percent of poverty level,,,546.0
1435,60136,Margin of Error,200 percent of poverty level,,,546.0
1436,60136,Margin of Error,300 percent of poverty level,,,716.0
1437,60136,Margin of Error,400 percent of poverty level,,,758.0
1438,60136,Margin of Error,50 percent of poverty level,,,195.0
1439,60136,Margin of Error,500 percent of poverty level,,,754.0
1440,60137,Estimate,125 percent of poverty level,,,2359.0
1441,60137,Estimate,150 percent of poverty level,,,2812.0
1442,60137,Estimate,185 percent of poverty level,,,3831.0
1443,60137,Estimate,200 percent of poverty level,,,3988.0
1444,60137,Estimate,300 percent of poverty level,,,6894.0
1445,60137,Estimate,400 percent of poverty level,,,10505.0
1446,60137,Estimate,50 percent of poverty level,,,1010.0
1447,60137,Estimate,500 percent of poverty level,,,13888.0
1448,60137,Margin of Error,125 percent of poverty level,,,533.0
1449,60137,Margin of Error,150 percent of poverty level,,,607.0
1450,60137,Margin of Error,185 percent of poverty level,,,610.0
1451,60137,Margin of Error,200 percent of poverty level,,,622.0
1452,60137,Margin of Error,300 percent of poverty level,,,818.0
1453,60137,Margin of Error,400 percent of poverty level,,,1076.0
1454,60137,Margin of Error,50 percent of poverty level,,,303.0
1455,60137,Margin of Error,500 percent of poverty level,,,1205.0
1456,60139,Estimate,125 percent of poverty level,,,4647.0
1457,60139,Estimate,150 percent of poverty level,,,5885.0
1458,60139,Estimate,185 percent of poverty level,,,9504.0
1459,60139,Estimate,200 percent of poverty level,,,10395.0
1460,60139,Estimate,300 percent of poverty level,,,16099.0
1461,60139,Estimate,400 percent of poverty level,,,21522.0
1462,60139,Estimate,50 percent of poverty level,,,1576.0
1463,60139,Estimate,500 percent of poverty level,,,26417.0
1464,60139,Margin of Error,125 percent of poverty level,,,868.0
1465,60139,Margin of Error,150 percent of poverty level,,,1015.0
1466,60139,Margin of Error,185 percent of poverty level,,,1163.0
1467,60139,Margin of Error,200 percent of poverty level,,,1201.0
1468,60139,Margin of Error,300 percent of poverty level,,,1108.0
1469,60139,Margin of Error,400 percent of poverty level,,,1247.0
1470,60139,Margin of Error,50 percent of poverty level,,,477.0
1471,60139,Margin of Error,500 percent of poverty level,,,963.0
1472,60140,Estimate,125 percent of poverty level,,,1601.0
1473,60140,Estimate,150 percent of poverty level,,,1825.0
1474,60140,Estimate,185 percent of poverty level,,,2205.0
1475,60140,Estimate,200 percent of poverty level,,,2508.0
1476,60140,Estimate,300 percent of poverty level,,,3654.0
1477,60140,Estimate,400 percent of poverty level,,,8142.0
1478,60140,Estimate,50 percent of poverty level,,,662.0
1479,60140,Estimate,500 percent of poverty level,,,10765.0
1480,60140,Margin of Error,125 percent of poverty level,,,661.0
1481,60140,Margin of Error,150 percent of poverty level,,,671.0
1482,60140,Margin of Error,185 percent of poverty level,,,833.0
1483,60140,Margin of Error,200 percent of poverty level,,,842.0
1484,60140,Margin of Error,300 percent of poverty level,,,979.0
1485,60140,Margin of Error,400 percent of poverty level,,,1310.0
1486,60140,Margin of Error,50 percent of poverty level,,,433.0
1487,60140,Margin of Error,500 percent of poverty level,,,1384.0
1488,60141,Estimate,125 percent of poverty level,,,155.0
1489,60141,Estimate,150 percent of poverty level,,,166.0
1490,60141,Estimate,185 percent of poverty level,,,210.0
1491,60141,Estimate,200 percent of poverty level,,,214.0
1492,60141,Estimate,300 percent of poverty level,,,214.0
1493,60141,Estimate,400 percent of poverty level,,,220.0
1494,60141,Estimate,50 percent of poverty level,,,63.0
1495,60141,Estimate,500 percent of poverty level,,,238.0
1496,60141,Margin of Error,125 percent of poverty level,,,94.0
1497,60141,Margin of Error,150 percent of poverty level,,,89.0
1498,60141,Margin of Error,185 percent of poverty level,,,104.0
1499,60141,Margin of Error,200 percent of poverty level,,,109.0
1500,60141,Margin of Error,300 percent of poverty level,,,109.0
1501,60141,Margin of Error,400 percent of poverty level,,,112.0
1502,60141,Margin of Error,50 percent of poverty level,,,52.0
1503,60141,Margin of Error,500 percent of poverty level,,,132.0
1504,60142,Estimate,125 percent of poverty level,,,1865.0
1505,60142,Estimate,150 percent of poverty level,,,2217.0
1506,60142,Estimate,185 percent of poverty level,,,3164.0
1507,60142,Estimate,200 percent of poverty level,,,3598.0
1508,60142,Estimate,300 percent of poverty level,,,7361.0
1509,60142,Estimate,400 percent of poverty level,,,11026.0
1510,60142,Estimate,50 percent of poverty level,,,737.0
1511,60142,Estimate,500 percent of poverty level,,,16557.0
1512,60142,Margin of Error,125 percent of poverty level,,,805.0
1513,60142,Margin of Error,150 percent of poverty level,,,815.0
1514,60142,Margin of Error,185 percent of poverty level,,,946.0
1515,60142,Margin of Error,200 percent of poverty level,,,964.0
1516,60142,Margin of Error,300 percent of poverty level,,,1367.0
1517,60142,Margin of Error,400 percent of poverty level,,,1381.0
1518,60142,Margin of Error,50 percent of poverty level,,,460.0
1519,60142,Margin of Error,500 percent of poverty level,,,1317.0
1520,60143,Estimate,125 percent of poverty level,,,578.0
1521,60143,Estimate,150 percent of poverty level,,,902.0
1522,60143,Estimate,185 percent of poverty level,,,1315.0
1523,60143,Estimate,200 percent of poverty level,,,1494.0
1524,60143,Estimate,300 percent of poverty level,,,2362.0
1525,60143,Estimate,400 percent of poverty level,,,3274.0
1526,60143,Estimate,50 percent of poverty level,,,222.0
1527,60143,Estimate,500 percent of poverty level,,,4925.0
1528,60143,Margin of Error,125 percent of poverty level,,,234.0
1529,60143,Margin of Error,150 percent of poverty level,,,433.0
1530,60143,Margin of Error,185 percent of poverty level,,,495.0
1531,60143,Margin of Error,200 percent of poverty level,,,488.0
1532,60143,Margin of Error,300 percent of poverty level,,,579.0
1533,60143,Margin of Error,400 percent of poverty level,,,607.0
1534,60143,Margin of Error,50 percent of poverty level,,,188.0
1535,60143,Margin of Error,500 percent of poverty level,,,673.0
1536,60144,Estimate,125 percent of poverty level,,,0.0
1537,60144,Estimate,150 percent of poverty level,,,0.0
1538,60144,Estimate,185 percent of poverty level,,,25.0
1539,60144,Estimate,200 percent of poverty level,,,25.0
1540,60144,Estimate,300 percent of poverty level,,,40.0
1541,60144,Estimate,400 percent of poverty level,,,51.0
1542,60144,Estimate,50 percent of poverty level,,,0.0
1543,60144,Estimate,500 percent of poverty level,,,60.0
1544,60144,Margin of Error,125 percent of poverty level,,,12.0
1545,60144,Margin of Error,150 percent of poverty level,,,12.0
1546,60144,Margin of Error,185 percent of poverty level,,,31.0
1547,60144,Margin of Error,200 percent of poverty level,,,31.0
1548,60144,Margin of Error,300 percent of poverty level,,,37.0
1549,60144,Margin of Error,400 percent of poverty level,,,37.0
1550,60144,Margin of Error,50 percent of poverty level,,,12.0
1551,60144,Margin of Error,500 percent of poverty level,,,41.0
1552,60145,Estimate,125 percent of poverty level,,,556.0
1553,60145,Estimate,150 percent of poverty level,,,592.0
1554,60145,Estimate,185 percent of poverty level,,,805.0
1555,60145,Estimate,200 percent of poverty level,,,839.0
1556,60145,Estimate,300 percent of poverty level,,,1550.0
1557,60145,Estimate,400 percent of poverty level,,,1958.0
1558,60145,Estimate,50 percent of poverty level,,,291.0
1559,60145,Estimate,500 percent of poverty level,,,2261.0
1560,60145,Margin of Error,125 percent of poverty level,,,398.0
1561,60145,Margin of Error,150 percent of poverty level,,,404.0
1562,60145,Margin of Error,185 percent of poverty level,,,461.0
1563,60145,Margin of Error,200 percent of poverty level,,,459.0
1564,60145,Margin of Error,300 percent of poverty level,,,555.0
1565,60145,Margin of Error,400 percent of poverty level,,,573.0
1566,60145,Margin of Error,50 percent of poverty level,,,316.0
1567,60145,Margin of Error,500 percent of poverty level,,,542.0
1568,60146,Estimate,125 percent of poverty level,,,219.0
1569,60146,Estimate,150 percent of poverty level,,,235.0
1570,60146,Estimate,185 percent of poverty level,,,336.0
1571,60146,Estimate,200 percent of poverty level,,,514.0
1572,60146,Estimate,300 percent of poverty level,,,878.0
1573,60146,Estimate,400 percent of poverty level,,,1222.0
1574,60146,Estimate,50 percent of poverty level,,,64.0
1575,60146,Estimate,500 percent of poverty level,,,1482.0
1576,60146,Margin of Error,125 percent of poverty level,,,104.0
1577,60146,Margin of Error,150 percent of poverty level,,,106.0
1578,60146,Margin of Error,185 percent of poverty level,,,118.0
1579,60146,Margin of Error,200 percent of poverty level,,,166.0
1580,60146,Margin of Error,300 percent of poverty level,,,230.0
1581,60146,Margin of Error,400 percent of poverty level,,,273.0
1582,60146,Margin of Error,50 percent of poverty level,,,47.0
1583,60146,Margin of Error,500 percent of poverty level,,,298.0
1584,60148,Estimate,125 percent of poverty level,,,3662.0
1585,60148,Estimate,150 percent of poverty level,,,5244.0
1586,60148,Estimate,185 percent of poverty level,,,7070.0
1587,60148,Estimate,200 percent of poverty level,,,7626.0
1588,60148,Estimate,300 percent of poverty level,,,14468.0
1589,60148,Estimate,400 percent of poverty level,,,23186.0
1590,60148,Estimate,50 percent of poverty level,,,1451.0
1591,60148,Estimate,500 percent of poverty level,,,29948.0
1592,60148,Margin of Error,125 percent of poverty level,,,701.0
1593,60148,Margin of Error,150 percent of poverty level,,,860.0
