,Zipcode,Stats,EMPLOYMENT STATUS,Below poverty level,Percent below poverty level,Total
2529,60446,Margin of Error,Employed Female,272.0,2.8,571.0
2530,60446,Margin of Error,Employed Male,156.0,1.3,559.0
2531,60446,Margin of Error,Unemployed,81.0,8.4,228.0
2532,60446,Margin of Error,Unemployed Female,60.0,13.1,150.0
2533,60446,Margin of Error,Unemployed Male,45.0,9.8,161.0
2534,60447,Estimate,Civilian labor force 16 years and over,272.0,3.6,7597.0
2535,60447,Estimate,Employed,186.0,2.5,7366.0
2536,60447,Estimate,Employed Female,142.0,4.2,3413.0
2537,60447,Estimate,Employed Male,44.0,1.1,3953.0
2538,60447,Estimate,Unemployed,86.0,37.2,231.0
2539,60447,Estimate,Unemployed Female,58.0,55.8,104.0
2540,60447,Estimate,Unemployed Male,28.0,22.0,127.0
2541,60447,Margin of Error,Civilian labor force 16 years and over,158.0,2.1,517.0
2542,60447,Margin of Error,Employed,135.0,1.8,544.0
2543,60447,Margin of Error,Employed Female,131.0,3.8,348.0
2544,60447,Margin of Error,Employed Male,44.0,1.1,356.0
2545,60447,Margin of Error,Unemployed,89.0,32.8,141.0
2546,60447,Margin of Error,Unemployed Female,74.0,46.5,88.0
2547,60447,Margin of Error,Unemployed Male,38.0,27.8,83.0
2548,60448,Estimate,Civilian labor force 16 years and over,323.0,2.1,15051.0
2549,60448,Estimate,Employed,238.0,1.6,14553.0
2550,60448,Estimate,Employed Female,189.0,2.6,7153.0
2551,60448,Estimate,Employed Male,49.0,0.7,7400.0
2552,60448,Estimate,Unemployed,85.0,17.1,498.0
2553,60448,Estimate,Unemployed Female,39.0,21.0,186.0
2554,60448,Estimate,Unemployed Male,46.0,14.7,312.0
2555,60448,Margin of Error,Civilian labor force 16 years and over,125.0,0.9,891.0
2556,60448,Margin of Error,Employed,126.0,0.9,890.0
2557,60448,Margin of Error,Employed Female,91.0,1.3,531.0
2558,60448,Margin of Error,Employed Male,50.0,0.7,659.0
2559,60448,Margin of Error,Unemployed,74.0,13.6,170.0
2560,60448,Margin of Error,Unemployed Female,38.0,18.8,77.0
2561,60448,Margin of Error,Unemployed Male,43.0,13.5,133.0
2562,60449,Estimate,Civilian labor force 16 years and over,40.0,0.7,5700.0
2563,60449,Estimate,Employed,40.0,0.7,5525.0
2564,60449,Estimate,Employed Female,25.0,1.0,2610.0
2565,60449,Estimate,Employed Male,15.0,0.5,2915.0
2566,60449,Estimate,Unemployed,0.0,0.0,175.0
2567,60449,Estimate,Unemployed Female,0.0,0.0,67.0
2568,60449,Estimate,Unemployed Male,0.0,0.0,108.0
2569,60449,Margin of Error,Civilian labor force 16 years and over,61.0,1.1,503.0
2570,60449,Margin of Error,Employed,61.0,1.1,517.0
2571,60449,Margin of Error,Employed Female,38.0,1.5,337.0
2572,60449,Margin of Error,Employed Male,28.0,1.0,308.0
2573,60449,Margin of Error,Unemployed,17.0,16.9,94.0
2574,60449,Margin of Error,Unemployed Female,17.0,36.0,51.0
2575,60449,Margin of Error,Unemployed Male,17.0,25.5,80.0
2576,60450,Estimate,Civilian labor force 16 years and over,448.0,4.2,10561.0
2577,60450,Estimate,Employed,407.0,4.0,10247.0
2578,60450,Estimate,Employed Female,201.0,4.5,4509.0
2579,60450,Estimate,Employed Male,206.0,3.6,5738.0
2580,60450,Estimate,Unemployed,41.0,13.1,314.0
2581,60450,Estimate,Unemployed Female,27.0,16.7,162.0
2582,60450,Estimate,Unemployed Male,14.0,9.2,152.0
2583,60450,Margin of Error,Civilian labor force 16 years and over,223.0,2.1,455.0
2584,60450,Margin of Error,Employed,214.0,2.1,469.0
2585,60450,Margin of Error,Employed Female,124.0,2.7,408.0
2586,60450,Margin of Error,Employed Male,130.0,2.3,279.0
2587,60450,Margin of Error,Unemployed,38.0,11.2,132.0
2588,60450,Margin of Error,Unemployed Female,31.0,18.6,88.0
2589,60450,Margin of Error,Unemployed Male,21.0,12.2,81.0
2590,60451,Estimate,Civilian labor force 16 years and over,172.0,0.9,19778.0
2591,60451,Estimate,Employed,150.0,0.8,19146.0
2592,60451,Estimate,Employed Female,129.0,1.4,8986.0
2593,60451,Estimate,Employed Male,21.0,0.2,10160.0
2594,60451,Estimate,Unemployed,22.0,3.5,632.0
2595,60451,Estimate,Unemployed Female,13.0,5.5,237.0
2596,60451,Estimate,Unemployed Male,9.0,2.3,395.0
2597,60451,Margin of Error,Civilian labor force 16 years and over,81.0,0.4,624.0
2598,60451,Margin of Error,Employed,77.0,0.4,586.0
2599,60451,Margin of Error,Employed Female,78.0,0.9,464.0
2600,60451,Margin of Error,Employed Male,24.0,0.2,402.0
2601,60451,Margin of Error,Unemployed,25.0,3.9,160.0
2602,60451,Margin of Error,Unemployed Female,22.0,8.6,108.0
2603,60451,Margin of Error,Unemployed Male,14.0,3.7,111.0
2604,60452,Estimate,Civilian labor force 16 years and over,353.0,2.3,15650.0
2605,60452,Estimate,Employed,289.0,1.9,15005.0
2606,60452,Estimate,Employed Female,226.0,3.2,6961.0
2607,60452,Estimate,Employed Male,63.0,0.8,8044.0
2608,60452,Estimate,Unemployed,64.0,9.9,645.0
2609,60452,Estimate,Unemployed Female,24.0,7.8,308.0
2610,60452,Estimate,Unemployed Male,40.0,11.9,337.0
2611,60452,Margin of Error,Civilian labor force 16 years and over,138.0,0.9,811.0
2612,60452,Margin of Error,Employed,121.0,0.8,824.0
2613,60452,Margin of Error,Employed Female,109.0,1.6,599.0
2614,60452,Margin of Error,Employed Male,63.0,0.8,561.0
2615,60452,Margin of Error,Unemployed,54.0,8.0,178.0
2616,60452,Margin of Error,Unemployed Female,41.0,13.1,132.0
2617,60452,Margin of Error,Unemployed Male,36.0,9.8,125.0
2618,60453,Estimate,Civilian labor force 16 years and over,1352.0,5.0,27117.0
2619,60453,Estimate,Employed,979.0,3.9,25306.0
2620,60453,Estimate,Employed Female,396.0,3.3,12033.0
2621,60453,Estimate,Employed Male,583.0,4.4,13273.0
2622,60453,Estimate,Unemployed,373.0,20.6,1811.0
2623,60453,Estimate,Unemployed Female,210.0,21.0,998.0
2624,60453,Estimate,Unemployed Male,163.0,20.0,813.0
2625,60453,Margin of Error,Civilian labor force 16 years and over,347.0,1.3,902.0
2626,60453,Margin of Error,Employed,294.0,1.1,910.0
2627,60453,Margin of Error,Employed Female,142.0,1.1,602.0
2628,60453,Margin of Error,Employed Male,231.0,1.7,612.0
2629,60453,Margin of Error,Unemployed,163.0,8.5,354.0
2630,60453,Margin of Error,Unemployed Female,112.0,11.9,310.0
2631,60453,Margin of Error,Unemployed Male,89.0,9.8,217.0
2632,60455,Estimate,Civilian labor force 16 years and over,727.0,9.5,7667.0
2633,60455,Estimate,Employed,508.0,7.1,7176.0
2634,60455,Estimate,Employed Female,209.0,6.6,3173.0
2635,60455,Estimate,Employed Male,299.0,7.5,4003.0
2636,60455,Estimate,Unemployed,219.0,44.6,491.0
2637,60455,Estimate,Unemployed Female,170.0,63.9,266.0
2638,60455,Estimate,Unemployed Male,49.0,21.8,225.0
2639,60455,Margin of Error,Civilian labor force 16 years and over,262.0,3.3,492.0
2640,60455,Margin of Error,Employed,220.0,3.0,511.0
2641,60455,Margin of Error,Employed Female,131.0,3.9,427.0
2642,60455,Margin of Error,Employed Male,138.0,3.5,387.0
2643,60455,Margin of Error,Unemployed,137.0,18.3,193.0
2644,60455,Margin of Error,Unemployed Female,138.0,24.7,158.0
2645,60455,Margin of Error,Unemployed Male,50.0,20.1,107.0
2646,60456,Estimate,Civilian labor force 16 years and over,87.0,4.0,2157.0
2647,60456,Estimate,Employed,87.0,4.2,2058.0
2648,60456,Estimate,Employed Female,79.0,7.2,1090.0
2649,60456,Estimate,Employed Male,8.0,0.8,968.0
2650,60456,Estimate,Unemployed,0.0,0.0,99.0
2651,60456,Estimate,Unemployed Female,0.0,0.0,26.0
2652,60456,Estimate,Unemployed Male,0.0,0.0,73.0
2653,60456,Margin of Error,Civilian labor force 16 years and over,68.0,3.1,212.0
2654,60456,Margin of Error,Employed,68.0,3.2,220.0
2655,60456,Margin of Error,Employed Female,67.0,6.1,153.0
2656,60456,Margin of Error,Employed Male,12.0,1.2,173.0
2657,60456,Margin of Error,Unemployed,12.0,27.4,96.0
2658,60456,Margin of Error,Unemployed Female,12.0,58.2,31.0
2659,60456,Margin of Error,Unemployed Male,12.0,34.1,84.0
2660,60457,Estimate,Civilian labor force 16 years and over,448.0,6.3,7121.0
2661,60457,Estimate,Employed,395.0,5.8,6863.0
2662,60457,Estimate,Employed Female,202.0,6.6,3049.0
2663,60457,Estimate,Employed Male,193.0,5.1,3814.0
2664,60457,Estimate,Unemployed,53.0,20.5,258.0
2665,60457,Estimate,Unemployed Female,41.0,26.6,154.0
2666,60457,Estimate,Unemployed Male,12.0,11.5,104.0
2667,60457,Margin of Error,Civilian labor force 16 years and over,215.0,3.0,503.0
2668,60457,Margin of Error,Employed,192.0,2.8,515.0
2669,60457,Margin of Error,Employed Female,137.0,4.4,284.0
2670,60457,Margin of Error,Employed Male,92.0,2.5,361.0
2671,60457,Margin of Error,Unemployed,55.0,18.6,110.0
2672,60457,Margin of Error,Unemployed Female,47.0,27.4,86.0
2673,60457,Margin of Error,Unemployed Male,18.0,16.6,63.0
2674,60458,Estimate,Civilian labor force 16 years and over,884.0,10.9,8121.0
2675,60458,Estimate,Employed,682.0,8.9,7668.0
2676,60458,Estimate,Employed Female,330.0,10.2,3246.0
2677,60458,Estimate,Employed Male,352.0,8.0,4422.0
2678,60458,Estimate,Unemployed,202.0,44.6,453.0
2679,60458,Estimate,Unemployed Female,65.0,30.1,216.0
2680,60458,Estimate,Unemployed Male,137.0,57.8,237.0
2681,60458,Margin of Error,Civilian labor force 16 years and over,400.0,4.9,622.0
2682,60458,Margin of Error,Employed,273.0,3.6,633.0
2683,60458,Margin of Error,Employed Female,152.0,4.7,311.0
2684,60458,Margin of Error,Employed Male,163.0,3.8,607.0
2685,60458,Margin of Error,Unemployed,176.0,25.6,222.0
2686,60458,Margin of Error,Unemployed Female,78.0,29.4,134.0
2687,60458,Margin of Error,Unemployed Male,110.0,26.8,124.0
2688,60459,Estimate,Civilian labor force 16 years and over,741.0,5.2,14116.0
2689,60459,Estimate,Employed,597.0,4.5,13172.0
2690,60459,Estimate,Employed Female,241.0,4.3,5607.0
2691,60459,Estimate,Employed Male,356.0,4.7,7565.0
2692,60459,Estimate,Unemployed,144.0,15.3,944.0
2693,60459,Estimate,Unemployed Female,73.0,16.5,442.0
2694,60459,Estimate,Unemployed Male,71.0,14.1,502.0
2695,60459,Margin of Error,Civilian labor force 16 years and over,198.0,1.4,536.0
2696,60459,Margin of Error,Employed,182.0,1.4,573.0
2697,60459,Margin of Error,Employed Female,124.0,2.3,505.0
2698,60459,Margin of Error,Employed Male,122.0,1.6,444.0
2699,60459,Margin of Error,Unemployed,80.0,9.4,238.0
2700,60459,Margin of Error,Unemployed Female,54.0,12.3,179.0
2701,60459,Margin of Error,Unemployed Male,60.0,13.4,149.0
2702,60460,Estimate,Civilian labor force 16 years and over,23.0,4.3,529.0
2703,60460,Estimate,Employed,23.0,4.5,508.0
2704,60460,Estimate,Employed Female,13.0,5.5,237.0
2705,60460,Estimate,Employed Male,10.0,3.7,271.0
2706,60460,Estimate,Unemployed,0.0,0.0,21.0
2707,60460,Estimate,Unemployed Female,0.0,0.0,7.0
2708,60460,Estimate,Unemployed Male,0.0,0.0,14.0
2709,60460,Margin of Error,Civilian labor force 16 years and over,13.0,2.5,93.0
2710,60460,Margin of Error,Employed,13.0,2.6,91.0
2711,60460,Margin of Error,Employed Female,8.0,3.4,57.0
2712,60460,Margin of Error,Employed Male,12.0,4.3,55.0
2713,60460,Margin of Error,Unemployed,12.0,64.7,10.0
2714,60460,Margin of Error,Unemployed Female,12.0,100.0,7.0
2715,60460,Margin of Error,Unemployed Male,12.0,79.3,8.0
2716,60461,Estimate,Civilian labor force 16 years and over,71.0,3.0,2335.0
2717,60461,Estimate,Employed,48.0,2.2,2135.0
2718,60461,Estimate,Employed Female,24.0,2.4,1008.0
2719,60461,Estimate,Employed Male,24.0,2.1,1127.0
2720,60461,Estimate,Unemployed,23.0,11.5,200.0
2721,60461,Estimate,Unemployed Female,0.0,0.0,56.0
2722,60461,Estimate,Unemployed Male,23.0,16.0,144.0
2723,60461,Margin of Error,Civilian labor force 16 years and over,98.0,4.2,320.0
2724,60461,Margin of Error,Employed,65.0,3.1,307.0
2725,60461,Margin of Error,Employed Female,35.0,3.5,176.0
2726,60461,Margin of Error,Employed Male,31.0,2.8,183.0
2727,60461,Margin of Error,Unemployed,33.0,16.9,97.0
2728,60461,Margin of Error,Unemployed Female,12.0,39.6,41.0
2729,60461,Margin of Error,Unemployed Male,33.0,24.1,91.0
2730,60462,Estimate,Civilian labor force 16 years and over,546.0,2.7,20077.0
2731,60462,Estimate,Employed,435.0,2.3,19257.0
2732,60462,Estimate,Employed Female,180.0,2.1,8737.0
2733,60462,Estimate,Employed Male,255.0,2.4,10520.0
2734,60462,Estimate,Unemployed,111.0,13.5,820.0
2735,60462,Estimate,Unemployed Female,76.0,18.3,416.0
2736,60462,Estimate,Unemployed Male,35.0,8.7,404.0
2737,60462,Margin of Error,Civilian labor force 16 years and over,271.0,1.3,936.0
2738,60462,Margin of Error,Employed,245.0,1.3,903.0
2739,60462,Margin of Error,Employed Female,116.0,1.3,583.0
2740,60462,Margin of Error,Employed Male,146.0,1.4,609.0
2741,60462,Margin of Error,Unemployed,81.0,9.5,225.0
2742,60462,Margin of Error,Unemployed Female,64.0,15.7,176.0
2743,60462,Margin of Error,Unemployed Male,43.0,10.0,164.0
2744,60463,Estimate,Civilian labor force 16 years and over,223.0,3.3,6854.0
2745,60463,Estimate,Employed,144.0,2.2,6569.0
2746,60463,Estimate,Employed Female,49.0,1.7,2958.0
2747,60463,Estimate,Employed Male,95.0,2.6,3611.0
2748,60463,Estimate,Unemployed,79.0,27.7,285.0
2749,60463,Estimate,Unemployed Female,44.0,29.7,148.0
2750,60463,Estimate,Unemployed Male,35.0,25.5,137.0
2751,60463,Margin of Error,Civilian labor force 16 years and over,107.0,1.6,480.0
2752,60463,Margin of Error,Employed,58.0,0.9,443.0
2753,60463,Margin of Error,Employed Female,35.0,1.1,304.0
2754,60463,Margin of Error,Employed Male,59.0,1.6,260.0
2755,60463,Margin of Error,Unemployed,74.0,21.6,113.0
2756,60463,Margin of Error,Unemployed Female,51.0,27.0,75.0
2757,60463,Margin of Error,Unemployed Male,55.0,34.0,85.0
2758,60464,Estimate,Civilian labor force 16 years and over,104.0,2.3,4454.0
2759,60464,Estimate,Employed,65.0,1.5,4256.0
2760,60464,Estimate,Employed Female,38.0,1.9,1991.0
2761,60464,Estimate,Employed Male,27.0,1.2,2265.0
2762,60464,Estimate,Unemployed,39.0,19.7,198.0
2763,60464,Estimate,Unemployed Female,19.0,14.4,132.0
2764,60464,Estimate,Unemployed Male,20.0,30.3,66.0
2765,60464,Margin of Error,Civilian labor force 16 years and over,107.0,2.4,402.0
2766,60464,Margin of Error,Employed,55.0,1.3,397.0
2767,60464,Margin of Error,Employed Female,40.0,2.0,286.0
2768,60464,Margin of Error,Employed Male,34.0,1.5,339.0
2769,60464,Margin of Error,Unemployed,64.0,26.9,94.0
2770,60464,Margin of Error,Unemployed Female,32.0,22.4,71.0
2771,60464,Margin of Error,Unemployed Male,32.0,38.8,47.0
2772,60465,Estimate,Civilian labor force 16 years and over,645.0,7.5,8550.0
2773,60465,Estimate,Employed,484.0,6.0,8126.0
2774,60465,Estimate,Employed Female,369.0,9.0,4091.0
2775,60465,Estimate,Employed Male,115.0,2.9,4035.0
2776,60465,Estimate,Unemployed,161.0,38.0,424.0
2777,60465,Estimate,Unemployed Female,74.0,61.2,121.0
2778,60465,Estimate,Unemployed Male,87.0,28.7,303.0
2779,60465,Margin of Error,Civilian labor force 16 years and over,252.0,3.0,574.0
2780,60465,Margin of Error,Employed,205.0,2.6,591.0
2781,60465,Margin of Error,Employed Female,195.0,4.8,388.0
2782,60465,Margin of Error,Employed Male,84.0,2.0,453.0
2783,60465,Margin of Error,Unemployed,99.0,20.2,169.0
2784,60465,Margin of Error,Unemployed Female,63.0,31.6,78.0
2785,60465,Margin of Error,Unemployed Male,68.0,21.1,139.0
2786,60466,Estimate,Civilian labor force 16 years and over,621.0,5.8,10669.0
2787,60466,Estimate,Employed,365.0,3.8,9611.0
2788,60466,Estimate,Employed Female,256.0,5.1,5064.0
2789,60466,Estimate,Employed Male,109.0,2.4,4547.0
2790,60466,Estimate,Unemployed,256.0,24.2,1058.0
2791,60466,Estimate,Unemployed Female,197.0,31.6,623.0
2792,60466,Estimate,Unemployed Male,59.0,13.6,435.0
2793,60466,Margin of Error,Civilian labor force 16 years and over,196.0,1.9,594.0
2794,60466,Margin of Error,Employed,141.0,1.5,591.0
2795,60466,Margin of Error,Employed Female,107.0,2.2,450.0
2796,60466,Margin of Error,Employed Male,74.0,1.6,448.0
2797,60466,Margin of Error,Unemployed,128.0,11.9,242.0
2798,60466,Margin of Error,Unemployed Female,124.0,15.5,182.0
2799,60466,Margin of Error,Unemployed Male,43.0,9.9,183.0
2800,60467,Estimate,Civilian labor force 16 years and over,348.0,2.7,12791.0
2801,60467,Estimate,Employed,346.0,2.8,12266.0
2802,60467,Estimate,Employed Female,86.0,1.7,5046.0
2803,60467,Estimate,Employed Male,260.0,3.6,7220.0
2804,60467,Estimate,Unemployed,2.0,0.4,525.0
2805,60467,Estimate,Unemployed Female,2.0,0.9,231.0
2806,60467,Estimate,Unemployed Male,0.0,0.0,294.0
2807,60467,Margin of Error,Civilian labor force 16 years and over,178.0,1.4,675.0
2808,60467,Margin of Error,Employed,178.0,1.5,685.0
2809,60467,Margin of Error,Employed Female,75.0,1.5,471.0
2810,60467,Margin of Error,Employed Male,156.0,2.2,466.0
2811,60467,Margin of Error,Unemployed,4.0,0.8,166.0
2812,60467,Margin of Error,Unemployed Female,4.0,1.7,110.0
2813,60467,Margin of Error,Unemployed Male,22.0,10.5,126.0
2814,60468,Estimate,Civilian labor force 16 years and over,82.0,2.4,3428.0
2815,60468,Estimate,Employed,54.0,1.7,3248.0
2816,60468,Estimate,Employed Female,27.0,1.7,1594.0
2817,60468,Estimate,Employed Male,27.0,1.6,1654.0
2818,60468,Estimate,Unemployed,28.0,15.6,180.0
2819,60468,Estimate,Unemployed Female,28.0,36.8,76.0
2820,60468,Estimate,Unemployed Male,0.0,0.0,104.0
2821,60468,Margin of Error,Civilian labor force 16 years and over,68.0,2.0,378.0
2822,60468,Margin of Error,Employed,51.0,1.6,375.0
2823,60468,Margin of Error,Employed Female,28.0,1.7,236.0
2824,60468,Margin of Error,Employed Male,27.0,1.7,251.0
2825,60468,Margin of Error,Unemployed,40.0,22.9,83.0
2826,60468,Margin of Error,Unemployed Female,40.0,51.1,57.0
2827,60468,Margin of Error,Unemployed Male,17.0,26.3,58.0
2828,60469,Estimate,Civilian labor force 16 years and over,170.0,6.3,2699.0
2829,60469,Estimate,Employed,78.0,3.3,2381.0
2830,60469,Estimate,Employed Female,70.0,8.3,840.0
2831,60469,Estimate,Employed Male,8.0,0.5,1541.0
2832,60469,Estimate,Unemployed,92.0,28.9,318.0
2833,60469,Estimate,Unemployed Female,45.0,25.9,174.0
2834,60469,Estimate,Unemployed Male,47.0,32.6,144.0
2835,60469,Margin of Error,Civilian labor force 16 years and over,111.0,4.4,479.0
2836,60469,Margin of Error,Employed,102.0,4.4,536.0
2837,60469,Margin of Error,Employed Female,96.0,11.3,245.0
2838,60469,Margin of Error,Employed Male,25.0,1.6,635.0
2839,60469,Margin of Error,Unemployed,88.0,26.1,179.0
2840,60469,Margin of Error,Unemployed Female,74.0,38.9,161.0
2841,60469,Margin of Error,Unemployed Male,51.0,37.5,114.0
2842,60470,Estimate,Civilian labor force 16 years and over,29.0,11.1,261.0
2843,60470,Estimate,Employed,22.0,9.1,243.0
2844,60470,Estimate,Employed Female,19.0,17.0,112.0
2845,60470,Estimate,Employed Male,3.0,2.3,131.0
2846,60470,Estimate,Unemployed,7.0,38.9,18.0
2847,60470,Estimate,Unemployed Female,7.0,100.0,7.0
2848,60470,Estimate,Unemployed Male,0.0,0.0,11.0
2849,60470,Margin of Error,Civilian labor force 16 years and over,28.0,9.3,67.0
2850,60470,Margin of Error,Employed,28.0,9.8,67.0
2851,60470,Margin of Error,Employed Female,27.0,19.6,39.0
2852,60470,Margin of Error,Employed Male,4.0,3.1,36.0
2853,60470,Margin of Error,Unemployed,6.0,28.6,11.0
2854,60470,Margin of Error,Unemployed Female,6.0,100.0,6.0
2855,60470,Margin of Error,Unemployed Male,12.0,89.4,8.0
2856,60471,Estimate,Civilian labor force 16 years and over,458.0,6.2,7435.0
2857,60471,Estimate,Employed,160.0,2.5,6446.0
2858,60471,Estimate,Employed Female,149.0,4.4,3422.0
2859,60471,Estimate,Employed Male,11.0,0.4,3024.0
2860,60471,Estimate,Unemployed,298.0,30.1,989.0
2861,60471,Estimate,Unemployed Female,86.0,23.0,374.0
2862,60471,Estimate,Unemployed Male,212.0,34.5,615.0
2863,60471,Margin of Error,Civilian labor force 16 years and over,200.0,2.7,478.0
2864,60471,Margin of Error,Employed,112.0,1.7,540.0
2865,60471,Margin of Error,Employed Female,112.0,3.3,423.0
2866,60471,Margin of Error,Employed Male,18.0,0.6,378.0
2867,60471,Margin of Error,Unemployed,160.0,13.7,313.0
2868,60471,Margin of Error,Unemployed Female,61.0,18.9,205.0
2869,60471,Margin of Error,Unemployed Male,143.0,18.2,251.0
2870,60472,Estimate,Civilian labor force 16 years and over,383.0,18.9,2026.0
2871,60472,Estimate,Employed,215.0,12.1,1771.0
2872,60472,Estimate,Employed Female,90.0,8.3,1087.0
2873,60472,Estimate,Employed Male,125.0,18.3,684.0
2874,60472,Estimate,Unemployed,168.0,65.9,255.0
2875,60472,Estimate,Unemployed Female,76.0,67.3,113.0
2876,60472,Estimate,Unemployed Male,92.0,64.8,142.0
2877,60472,Margin of Error,Civilian labor force 16 years and over,212.0,11.3,340.0
2878,60472,Margin of Error,Employed,126.0,8.0,355.0
2879,60472,Margin of Error,Employed Female,70.0,7.3,357.0
2880,60472,Margin of Error,Employed Male,111.0,14.9,191.0
2881,60472,Margin of Error,Unemployed,110.0,25.0,119.0
2882,60472,Margin of Error,Unemployed Female,60.0,28.1,74.0
2883,60472,Margin of Error,Unemployed Male,99.0,39.0,98.0
2884,60473,Estimate,Civilian labor force 16 years and over,685.0,6.3,10896.0
2885,60473,Estimate,Employed,470.0,4.9,9609.0
2886,60473,Estimate,Employed Female,222.0,4.1,5416.0
2887,60473,Estimate,Employed Male,248.0,5.9,4193.0
2888,60473,Estimate,Unemployed,215.0,16.7,1287.0
2889,60473,Estimate,Unemployed Female,145.0,28.0,518.0
2890,60473,Estimate,Unemployed Male,70.0,9.1,769.0
2891,60473,Margin of Error,Civilian labor force 16 years and over,237.0,2.2,542.0
2892,60473,Margin of Error,Employed,189.0,1.9,530.0
2893,60473,Margin of Error,Employed Female,98.0,1.8,439.0
2894,60473,Margin of Error,Employed Male,134.0,3.1,436.0
2895,60473,Margin of Error,Unemployed,111.0,7.9,270.0
2896,60473,Margin of Error,Unemployed Female,86.0,15.4,172.0
2897,60473,Margin of Error,Unemployed Male,62.0,7.4,194.0
2898,60474,Estimate,Civilian labor force 16 years and over,8.0,2.3,344.0
2899,60474,Estimate,Employed,8.0,2.4,329.0
2900,60474,Estimate,Employed Female,5.0,4.0,124.0
2901,60474,Estimate,Employed Male,3.0,1.5,205.0
2902,60474,Estimate,Unemployed,0.0,0.0,15.0
2903,60474,Estimate,Unemployed Female,0.0,0.0,7.0
2904,60474,Estimate,Unemployed Male,0.0,0.0,8.0
2905,60474,Margin of Error,Civilian labor force 16 years and over,7.0,2.1,71.0
2906,60474,Margin of Error,Employed,7.0,2.2,69.0
2907,60474,Margin of Error,Employed Female,5.0,4.4,30.0
2908,60474,Margin of Error,Employed Male,4.0,1.9,50.0
2909,60474,Margin of Error,Unemployed,12.0,76.6,9.0
2910,60474,Margin of Error,Unemployed Female,12.0,100.0,4.0
2911,60474,Margin of Error,Unemployed Male,12.0,100.0,7.0
2912,60475,Estimate,Civilian labor force 16 years and over,369.0,7.7,4816.0
2913,60475,Estimate,Employed,247.0,5.5,4485.0
2914,60475,Estimate,Employed Female,133.0,6.5,2033.0
2915,60475,Estimate,Employed Male,114.0,4.6,2452.0
2916,60475,Estimate,Unemployed,122.0,36.9,331.0
2917,60475,Estimate,Unemployed Female,49.0,41.9,117.0
2918,60475,Estimate,Unemployed Male,73.0,34.1,214.0
2919,60475,Margin of Error,Civilian labor force 16 years and over,162.0,3.4,426.0
2920,60475,Margin of Error,Employed,139.0,3.1,443.0
2921,60475,Margin of Error,Employed Female,71.0,3.7,269.0
2922,60475,Margin of Error,Employed Male,108.0,4.3,300.0
2923,60475,Margin of Error,Unemployed,70.0,18.7,137.0
2924,60475,Margin of Error,Unemployed Female,35.0,29.8,58.0
2925,60475,Margin of Error,Unemployed Male,72.0,25.7,121.0
2926,60476,Estimate,Civilian labor force 16 years and over,62.0,4.5,1383.0
2927,60476,Estimate,Employed,52.0,4.1,1280.0
2928,60476,Estimate,Employed Female,47.0,6.9,679.0
2929,60476,Estimate,Employed Male,5.0,0.8,601.0
2930,60476,Estimate,Unemployed,10.0,9.7,103.0
2931,60476,Estimate,Unemployed Female,5.0,11.9,42.0
2932,60476,Estimate,Unemployed Male,5.0,8.2,61.0
2933,60476,Margin of Error,Civilian labor force 16 years and over,50.0,3.7,232.0
2934,60476,Margin of Error,Employed,48.0,3.8,224.0
2935,60476,Margin of Error,Employed Female,45.0,6.6,129.0
2936,60476,Margin of Error,Employed Male,9.0,1.6,121.0
2937,60476,Margin of Error,Unemployed,12.0,11.8,44.0
2938,60476,Margin of Error,Unemployed Female,8.0,20.1,33.0
2939,60476,Margin of Error,Unemployed Male,9.0,15.6,32.0
2940,60477,Estimate,Civilian labor force 16 years and over,678.0,3.3,20441.0
2941,60477,Estimate,Employed,584.0,3.0,19190.0
2942,60477,Estimate,Employed Female,232.0,2.5,9320.0
2943,60477,Estimate,Employed Male,352.0,3.6,9870.0
2944,60477,Estimate,Unemployed,94.0,7.5,1251.0
2945,60477,Estimate,Unemployed Female,27.0,9.2,294.0
2946,60477,Estimate,Unemployed Male,67.0,7.0,957.0
2947,60477,Margin of Error,Civilian labor force 16 years and over,212.0,1.1,936.0
2948,60477,Margin of Error,Employed,183.0,1.0,907.0
2949,60477,Margin of Error,Employed Female,112.0,1.2,629.0
2950,60477,Margin of Error,Employed Male,122.0,1.3,608.0
2951,60477,Margin of Error,Unemployed,86.0,6.7,255.0
2952,60477,Margin of Error,Unemployed Female,30.0,9.4,119.0
2953,60477,Margin of Error,Unemployed Male,80.0,7.9,249.0
2954,60478,Estimate,Civilian labor force 16 years and over,794.0,9.5,8385.0
2955,60478,Estimate,Employed,234.0,3.2,7218.0
2956,60478,Estimate,Employed Female,168.0,4.2,4044.0
2957,60478,Estimate,Employed Male,66.0,2.1,3174.0
2958,60478,Estimate,Unemployed,560.0,48.0,1167.0
2959,60478,Estimate,Unemployed Female,375.0,53.3,704.0
2960,60478,Estimate,Unemployed Male,185.0,40.0,463.0
2961,60478,Margin of Error,Civilian labor force 16 years and over,255.0,3.0,744.0
2962,60478,Margin of Error,Employed,118.0,1.6,712.0
2963,60478,Margin of Error,Employed Female,99.0,2.5,610.0
2964,60478,Margin of Error,Employed Male,70.0,2.2,445.0
2965,60478,Margin of Error,Unemployed,243.0,15.0,311.0
2966,60478,Margin of Error,Unemployed Female,190.0,17.9,239.0
2967,60478,Margin of Error,Unemployed Male,158.0,26.5,198.0
2968,60479,Estimate,Civilian labor force 16 years and over,49.0,8.5,578.0
